sample,population,gvcf,contamination,alignment_summary_metrics,duplicate_metrics,insert_size_metrics,wgs_metrics
HG00477,CHS,gs://cpg-fewgenomes-upload/HG00477/gvcf/HG00477.g.vcf.gz,,,,,
HG01937,PEL,gs://cpg-fewgenomes-upload/HG01937/gvcf/HG01937.g.vcf.gz,,,,,
HG01993,,gs://cpg-fewgenomes-upload/HG01993/gvcf/HG01993.g.vcf.gz,,,,,
HG02321,,gs://cpg-fewgenomes-upload/HG02321/gvcf/HG02321.g.vcf.gz,,,,,
HG00664,,gs://cpg-fewgenomes-upload/HG00664/gvcf/HG00664.g.vcf.gz,,,,,
NA19751,,gs://cpg-fewgenomes-upload/NA19751/gvcf/NA19751.g.vcf.gz,,,,,
HG01084,PUR,gs://cpg-fewgenomes-upload/HG01084/gvcf/HG01084.g.vcf.gz,,,,,
HG00512,,gs://cpg-fewgenomes-upload/HG00512/gvcf/HG00512.g.vcf.gz,,,,,
NA19127,,gs://cpg-fewgenomes-upload/NA19127/gvcf/NA19127.g.vcf.gz,,,,,
NA10839,,gs://cpg-fewgenomes-upload/NA10839/gvcf/NA10839.g.vcf.gz,,,,,
NA19173,,gs://cpg-fewgenomes-upload/NA19173/gvcf/NA19173.g.vcf.gz,,,,,
HG02074,,gs://cpg-fewgenomes-upload/HG02074/gvcf/HG02074.g.vcf.gz,,,,,
HG00429,,gs://cpg-fewgenomes-upload/HG00429/gvcf/HG00429.g.vcf.gz,,,,,
HG01261,,gs://cpg-fewgenomes-upload/HG01261/gvcf/HG01261.g.vcf.gz,,,,,
HG01074,,gs://cpg-fewgenomes-upload/HG01074/gvcf/HG01074.g.vcf.gz,,,,,
NA19983,,gs://cpg-fewgenomes-upload/NA19983/gvcf/NA19983.g.vcf.gz,,,,,
