sample,population,gvcf,contamination,alignment_summary_metrics,duplicate_metrics,insert_size_metrics,wgs_metrics
NA19783,MXL,gs://cpg-fewgenomes-upload/NA19783/gvcf/NA19783.g.vcf.gz,gs://cpg-fewgenomes-upload/NA19783/picard_files/NA19783.selfSM,gs://cpg-fewgenomes-upload/NA19783/picard_files/NA19783.alignment_summary_metrics,gs://cpg-fewgenomes-upload/NA19783/picard_files/NA19783.duplicate_metrics,gs://cpg-fewgenomes-upload/NA19783/picard_files/NA19783.insert_size_metrics,gs://cpg-fewgenomes-upload/NA19783/picard_files/NA19783.wgs_metrics
NA18954,,gs://cpg-fewgenomes-upload/NA18954/gvcf/NA18954.g.vcf.gz,gs://cpg-fewgenomes-upload/NA18954/picard_files/NA18954.selfSM,gs://cpg-fewgenomes-upload/NA18954/picard_files/NA18954.alignment_summary_metrics,gs://cpg-fewgenomes-upload/NA18954/picard_files/NA18954.duplicate_metrics,gs://cpg-fewgenomes-upload/NA18954/picard_files/NA18954.insert_size_metrics,gs://cpg-fewgenomes-upload/NA18954/picard_files/NA18954.wgs_metrics
NA18965,,gs://cpg-fewgenomes-upload/NA18965/gvcf/NA18965.g.vcf.gz,gs://cpg-fewgenomes-upload/NA18965/picard_files/NA18965.selfSM,gs://cpg-fewgenomes-upload/NA18965/picard_files/NA18965.alignment_summary_metrics,gs://cpg-fewgenomes-upload/NA18965/picard_files/NA18965.duplicate_metrics,gs://cpg-fewgenomes-upload/NA18965/picard_files/NA18965.insert_size_metrics,gs://cpg-fewgenomes-upload/NA18965/picard_files/NA18965.wgs_metrics
HG01869,,gs://cpg-fewgenomes-upload/HG01869/gvcf/HG01869.g.vcf.gz,gs://cpg-fewgenomes-upload/HG01869/picard_files/HG01869.selfSM,gs://cpg-fewgenomes-upload/HG01869/picard_files/HG01869.alignment_summary_metrics,gs://cpg-fewgenomes-upload/HG01869/picard_files/HG01869.duplicate_metrics,gs://cpg-fewgenomes-upload/HG01869/picard_files/HG01869.insert_size_metrics,gs://cpg-fewgenomes-upload/HG01869/picard_files/HG01869.wgs_metrics
HG01341,,gs://cpg-fewgenomes-upload/HG01341/gvcf/HG01341.g.vcf.gz,gs://cpg-fewgenomes-upload/HG01341/picard_files/HG01341.selfSM,gs://cpg-fewgenomes-upload/HG01341/picard_files/HG01341.alignment_summary_metrics,gs://cpg-fewgenomes-upload/HG01341/picard_files/HG01341.duplicate_metrics,gs://cpg-fewgenomes-upload/HG01341/picard_files/HG01341.insert_size_metrics,gs://cpg-fewgenomes-upload/HG01341/picard_files/HG01341.wgs_metrics
HG01079,,gs://cpg-fewgenomes-upload/HG01079/gvcf/HG01079.g.vcf.gz,gs://cpg-fewgenomes-upload/HG01079/picard_files/HG01079.selfSM,gs://cpg-fewgenomes-upload/HG01079/picard_files/HG01079.alignment_summary_metrics,gs://cpg-fewgenomes-upload/HG01079/picard_files/HG01079.duplicate_metrics,gs://cpg-fewgenomes-upload/HG01079/picard_files/HG01079.insert_size_metrics,gs://cpg-fewgenomes-upload/HG01079/picard_files/HG01079.wgs_metrics
NA20803,,gs://cpg-fewgenomes-upload/NA20803/gvcf/NA20803.g.vcf.gz,gs://cpg-fewgenomes-upload/NA20803/picard_files/NA20803.selfSM,gs://cpg-fewgenomes-upload/NA20803/picard_files/NA20803.alignment_summary_metrics,gs://cpg-fewgenomes-upload/NA20803/picard_files/NA20803.duplicate_metrics,gs://cpg-fewgenomes-upload/NA20803/picard_files/NA20803.insert_size_metrics,gs://cpg-fewgenomes-upload/NA20803/picard_files/NA20803.wgs_metrics
HG02317,,gs://cpg-fewgenomes-upload/HG02317/gvcf/HG02317.g.vcf.gz,gs://cpg-fewgenomes-upload/HG02317/picard_files/HG02317.selfSM,gs://cpg-fewgenomes-upload/HG02317/picard_files/HG02317.alignment_summary_metrics,gs://cpg-fewgenomes-upload/HG02317/picard_files/HG02317.duplicate_metrics,gs://cpg-fewgenomes-upload/HG02317/picard_files/HG02317.insert_size_metrics,gs://cpg-fewgenomes-upload/HG02317/picard_files/HG02317.wgs_metrics
NA21141,,gs://cpg-fewgenomes-upload/NA21141/gvcf/NA21141.g.vcf.gz,gs://cpg-fewgenomes-upload/NA21141/picard_files/NA21141.selfSM,gs://cpg-fewgenomes-upload/NA21141/picard_files/NA21141.alignment_summary_metrics,gs://cpg-fewgenomes-upload/NA21141/picard_files/NA21141.duplicate_metrics,gs://cpg-fewgenomes-upload/NA21141/picard_files/NA21141.insert_size_metrics,gs://cpg-fewgenomes-upload/NA21141/picard_files/NA21141.wgs_metrics
HG02179,,gs://cpg-fewgenomes-upload/HG02179/gvcf/HG02179.g.vcf.gz,gs://cpg-fewgenomes-upload/HG02179/picard_files/HG02179.selfSM,gs://cpg-fewgenomes-upload/HG02179/picard_files/HG02179.alignment_summary_metrics,gs://cpg-fewgenomes-upload/HG02179/picard_files/HG02179.duplicate_metrics,gs://cpg-fewgenomes-upload/HG02179/picard_files/HG02179.insert_size_metrics,gs://cpg-fewgenomes-upload/HG02179/picard_files/HG02179.wgs_metrics
